Titolo,Tipo,Anno,Stagione,Stagione/Episodio,Nome File,Cartella,Estensione,Dimensione (MB),Disco,Percorso Completo,Data Scansione
Arancia Meccanica,Film,,,,Arancia Meccanica HD.mkv,.,.mkv,4486.4,Memoria 1,F:\Film Miei HD\Arancia Meccanica HD.mkv,2026-08-20
Arrival,Film,,,,Arrival HD.mkv,.,.mkv,,Memoria 3,F:\Arrival HD.mkv,2026-08-20
Assassinio Sull'Orient Express,Film,,,,Assassinio Sull'Orient Express HD.mkv,.,.mkv,,Memoria 3,F:\Assassinio Sull'Orient Express HD.mkv,2026-08-20
Attacco Al Potere 3,Film,,,,Attacco Al Potere 3 HD.mkv,.,.mkv,,Memoria 3,F:\Attacco Al Potere 3 HD.mkv,2026-08-20
Ave Cesare,Film,,,,Ave Cesare HD.mkv,.,.mkv,11165.0,Memoria 2,F:Ave Cesare HD.mkv,2026-08-20
Avengers - Age Of Ultron,Film,,,,Avengers - Age Of Ultron HD.mkv,.,.mkv,,Memoria 3,F:\Avengers - Age Of Ultron HD.mkv,2026-08-20
Avengers - Infinity War,Film,,,,Avengers - Infinity War HD.mkv,.,.mkv,,Memoria 3,F:\Avengers - Infinity War HD.mkv,2026-08-20
Avengers Endgame,Film,,,,Avengers Endgame HD.mkv,.,.mkv,,Memoria 3,F:\Avengers Endgame HD.mkv,2026-08-20
Baby Driver - Il Genio Della Fuga,Film,,,,Baby Driver - Il Genio Della Fuga HD.mkv,.,.mkv,,Memoria 3,F:\Baby Driver - Il Genio Della Fuga HD.mkv,2026-08-20
Bad Boys,Film,,,,Bad Boys HD.mkv,.,.mkv,8147.9,Memoria 2,F:Bad Boys HD.mkv,2026-08-20
Bad Guy,Film,,,,Bad Guy HD.mkv,.,.mkv,,Memoria 3,F:\Bad Guy HD.mkv,2026-08-20
Bad Moms - Mamme Molto Cattive,Film,,,,Bad Moms - Mamme Molto Cattive HD.mkv,.,.mkv,,Memoria 3,F:\Bad Moms - Mamme Molto Cattive HD.mkv,2026-08-20
Barriere,Film,,,,Barriere HD.mkv,.,.mkv,,Memoria 3,F:\Barriere HD.mkv,2026-08-20
Barry Seal - Una Storia Americana,Film,,,,Barry Seal - Una Storia Americana HD.mkv,.,.mkv,,Memoria 3,F:\Barry Seal - Una Storia Americana HD.mkv,2026-08-20
Basic Instinct,Film,,,,Basic Instinct HD.mkv,.,.mkv,4476.4,Memoria 1,F:\Film Miei HD\Basic Instinct HD.mkv,2026-08-20
Bastardi Senza Gloria,Film,,,,Bastardi Senza Gloria HD.mkv,.,.mkv,8148.8,Memoria 1,F:\Film Miei HD\Bastardi Senza Gloria HD.mkv,2026-08-20
Batman Begins,Film,,,,Batman Begins HD.mkv,.,.mkv,10096.3,Memoria 1,F:\Film Miei HD\Batman Begins HD.mkv,2026-08-20
Batman Returns,Film,,,,Batman Returns HD.mkv,.,.mkv,9231.8,Memoria 1,F:\Film Miei HD\Batman Returns HD.mkv,2026-08-20
Batman Vs Superman - Down Of Justice,Film,,,,Batman Vs Superman - Down Of Justice (Extended) HD.mkv,.,.mkv,16261.8,Memoria 2,F:Batman Vs Superman - Down Of Justice (Extended) HD.mkv,2026-08-20
Baywatch,Film,,,,Baywatch HD.mkv,.,.mkv,,Memoria 3,F:\Baywatch HD.mkv,2026-08-20
Beata Ignoranza,Film,,,,Beata Ignoranza HD.mkv,.,.mkv,,Memoria 3,F:\Beata Ignoranza HD.mkv,2026-08-20
Ben Hur,Film,,,,Ben Hur HD.mkv,.,.mkv,4900.0,Memoria 1,F:\Film Miei HD\Ben Hur HD.mkv,2026-08-20
Benvenuti Al Nord,Film,,,,Benvenuti Al Nord HD.mkv,.,.mkv,,Memoria 3,F:\Benvenuti Al Nord HD.mkv,2026-08-20
Benvenuti Al Sud,Film,,,,Benvenuti Al Sud HD.mkv,.,.mkv,,Memoria 3,F:\Benvenuti Al Sud HD.mkv,2026-08-20
Berlin Calling,Film,,,,Berlin Calling HD.mkv,.,.mkv,,Memoria 3,F:\Berlin Calling HD.mkv,2026-08-20
Bianca E bernie Nella Terra Dei Canguri,Film,,,,Bianca E bernie Nella Terra Dei Canguri HD.mkv,.,.mkv,6593.1,Memoria 2,F:Bianca E bernie Nella Terra Dei Canguri HD.mkv,2026-08-20
Big Eyes,Film,,,,Big Eyes HD.mkv,.,.mkv,10936.8,Memoria 1,F:\Film Miei HD\Big Eyes HD.mkv,2026-08-20
Billy Linn - Un Giorno Da Eroe,Film,,,,Billy Linn - Un Giorno Da Eroe HD.mkv,.,.mkv,,Memoria 3,F:\Billy Linn - Un Giorno Da Eroe HD.mkv,2026-08-20
Birdman,Film,,,,Birdman HD.mkv,.,.mkv,10720.1,Memoria 1,F:\Film Miei HD\Birdman HD.mkv,2026-08-20
Black Mass - L'Ultimo Gangster,Film,,,,Black Mass - L'Ultimo Gangster HD.mkv,.,.mkv,3883.9,Memoria 2,F:Black Mass - L'Ultimo Gangster HD.mkv,2026-08-20
Blackhat,Film,,,,Blackhat HD.mkv,.,.mkv,14943.3,Memoria 1,F:\Film Miei HD\Blackhat HD.mkv,2026-08-20
Blade Runner,Film,,,,Blade Runner HD.mkv,.,.mkv,,Memoria 3,F:\Blade Runner HD.mkv,2026-08-20
Blade Runner 2049,Film,,,,Blade Runner 2049 HD.mkv,.,.mkv,,Memoria 3,F:\Blade Runner 2049 HD.mkv,2026-08-20
Bleed - Più Forte Del Destino,Film,,,,Bleed - Più Forte Del Destino HD.mkv,.,.mkv,,Memoria 3,F:\Bleed - Più Forte Del Destino HD.mkv,2026-08-20
