Titolo,Tipo,Anno,Stagione,Stagione/Episodio,Nome File,Cartella,Estensione,Dimensione (MB),Disco,Percorso Completo,Data Scansione
House Of Cards,Serie TV,,1,S01E02,Capitolo 2 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 2 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E03,Capitolo 3 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 3 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E04,Capitolo 4 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 4 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E05,Capitolo 5 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 5 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E06,Capitolo 6 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 6 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E07,Capitolo 7 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 7 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E08,Capitolo 8 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 8 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E09,Capitolo 9 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 9 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E10,Capitolo 10 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 10 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E11,Capitolo 11 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 11 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E12,Capitolo 12 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 12 HD.mkv,2026-08-20
House Of Cards,Serie TV,,1,S01E13,Capitolo 13 HD.mkv,House Of Cards\I Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\I Stagione\Capitolo 13 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E01,House Of Cards - 2X01 - Capitolo 14 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2X01 - Capitolo 14 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E02,House Of Cards - 2x02 - Capitolo 15 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x02 - Capitolo 15 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E03,House Of Cards - 2x03 - Capitolo 16 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x03 - Capitolo 16 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E04,House Of Cards - 2x04 - Capitolo 17 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x04 - Capitolo 17 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E05,House Of Cards - 2x05 - Capitolo 18 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x05 - Capitolo 18 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E06,House Of Cards - 2x06 - Capitolo 19 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x06 - Capitolo 19 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E07,House Of Cards - 2x07 - Capitolo 20 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x07 - Capitolo 20 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E08,House Of Cards - 2x08 - Capitolo 21 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x08 - Capitolo 21 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E09,House Of Cards - 2x09 - Capitolo 22 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x09 - Capitolo 22 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E10,House Of Cards - 2x10 - Capitolo 23 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x10 - Capitolo 23 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E11,House Of Cards - 2x11 - Capitolo 24 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x11 - Capitolo 24 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E12,House Of Cards - 2x12 - Capitolo 25 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x12 - Capitolo 25 HD.mkv,2026-08-20
House Of Cards,Serie TV,,2,S02E13,House Of Cards - 2x13 - Capitolo 26 HD.mkv,House Of Cards\II Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\II Stagione\House Of Cards - 2x13 - Capitolo 26 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E01,Capitolo 27 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 27 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E02,Capitolo 28 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 28 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E03,Capitolo 29 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 29 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E04,Capitolo 30 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 30 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E05,Capitolo 31 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 31 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E06,Capitolo 32 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 32 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E07,Capitolo 33 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 33 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E08,Capitolo 34 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 34 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E09,Capitolo 35 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 35 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E10,Capitolo 36 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 36 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E11,Capitolo 37 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 37 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E12,Capitolo 38 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 38 HD.mkv,2026-08-20
House Of Cards,Serie TV,,3,S03E13,Capitolo 39 HD.mkv,House Of Cards\III Stagione,.mkv,,Memoria S,F:\SERIE TV\House Of Cards\III Stagione\Capitolo 39 HD.mkv,2026-08-20
House Of Cards,Serie TV,,4,S04E01,House Of Cards - 4x01 - Capitolo 40 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x01 - Capitolo 40 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E02,House Of Cards - 4x02 - Capitolo 41 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x02 - Capitolo 41 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E03,House Of Cards - 4x03 - Capitolo 42 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x03 - Capitolo 42 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E04,House Of Cards - 4x04 - Capitolo 43 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x04 - Capitolo 43 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E05,House Of Cards - 4x05 - Capitolo 44 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x05 - Capitolo 44 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E06,House Of Cards - 4x06 - Capitolo 45 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x06 - Capitolo 45 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E07,House Of Cards - 4x07 - Capitolo 46 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x07 - Capitolo 46 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E08,House Of Cards - 4x08 - Capitolo 47 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x08 - Capitolo 47 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E09,House Of Cards - 4x09 - Capitolo 48 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x09 - Capitolo 48 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E10,House Of Cards - 4x10 - Capitolo 49 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x10 - Capitolo 49 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E11,House Of Cards - 4x11 - Capitolo 50 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x11 - Capitolo 50 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E12,House Of Cards - 4x12 - Capitolo 51 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x12 - Capitolo 51 HD.mkv",2026-08-20
House Of Cards,Serie TV,,4,S04E13,House Of Cards - 4x13 - Capitolo 52 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 4x13 - Capitolo 52 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E01,House Of Cards - 5x01 - Capitolo 53 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x01 - Capitolo 53 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E02,House Of Cards - 5x02 - Capitolo 54 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x02 - Capitolo 54 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E03,House Of Cards - 5x03 - Capitolo 55 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x03 - Capitolo 55 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E04,House Of Cards - 5x04 - Capitolo 56 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x04 - Capitolo 56 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E05,House Of Cards - 5x05 - Capitolo 57 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x05 - Capitolo 57 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E06,House Of Cards - 5x06 - Capitolo 58 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x06 - Capitolo 58 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E07,House Of Cards - 5x07 - Capitolo 59 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x07 - Capitolo 59 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E08,House Of Cards - 5x08 - Capitolo 60 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x08 - Capitolo 60 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E09,House Of Cards - 5x09 - Capitolo 61 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x09 - Capitolo 61 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E10,House Of Cards - 5x10 - Capitolo 62 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x10 - Capitolo 62 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E11,House Of Cards - 5x11 - Capitolo 63 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x11 - Capitolo 63 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E12,House Of Cards - 5x12 - Capitolo 64 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x12 - Capitolo 64 HD.mkv",2026-08-20
House Of Cards,Serie TV,,5,S05E13,House Of Cards - 5x13 - Capitolo 65 HD.mkv,"House Of Cards (4,5)",.mkv,,Memoria 3,"F:\Serie TV (Temporanea)\House Of Cards (4,5)\House Of Cards - 5x13 - Capitolo 65 HD.mkv",2026-08-20
Hunter x Hunter,Serie TV,,,Ep001,01(WA).mp4,Hunter x Hunter\[1  Inizio 01-02],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[1  Inizio 01-02]\01(WA).mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep002,02.mp4,Hunter x Hunter\[1  Inizio 01-02],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[1  Inizio 01-02]\02.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep003,03.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\03.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep004,04.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\04.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep005,05.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\05.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep006,06.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\06.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep007,07.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\07.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep008,08.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\08.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep009,09.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\09.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep010,10.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\10.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep011,11.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\11.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep012,12.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\12.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep013,13.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\13.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep014,14.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\14.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep015,15.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\15.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep016,16.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\16.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep017,17.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\17.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep018,18.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\18.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep019,19.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\19.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep020,20.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\20.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep021,21.mp4,Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[2 L'ESAME PER DIVENTARE HUNTER 03-21]\21.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep022,22.mp4,Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026]\22.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep023,23.mp4,Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026]\23.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep024,24.mp4,Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026]\24.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep025,25.mp4,Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026]\25.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep026,26.mp4,Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[3 A CASA DI KILLUA 022 - 026]\26.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep027,27.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\27.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep028,28.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\28.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep029,29.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\29.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep030,30.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\30.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep031,31.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\31.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep032,32.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\32.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep033,33.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\33.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep034,34.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\34.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep035,35.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\35.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep036,36.mp4,Hunter x Hunter\[4  ARENA CELESTE 027-036],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[4  ARENA CELESTE 027-036]\36.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep037,37.mp4,Hunter x Hunter\[5 YORK SHIN CITY 037-058],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[5 YORK SHIN CITY 037-058]\37.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep038,38.mp4,Hunter x Hunter\[5 YORK SHIN CITY 037-058],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[5 YORK SHIN CITY 037-058]\38.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep039,39.mp4,Hunter x Hunter\[5 YORK SHIN CITY 037-058],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[5 YORK SHIN CITY 037-058]\39.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep040,40.mp4,Hunter x Hunter\[5 YORK SHIN CITY 037-058],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[5 YORK SHIN CITY 037-058]\40.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep041,41.mp4,Hunter x Hunter\[5 YORK SHIN CITY 037-058],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[5 YORK SHIN CITY 037-058]\41.mp4,2026-08-20
Hunter x Hunter,Serie TV,,,Ep042,42.mp4,Hunter x Hunter\[5 YORK SHIN CITY 037-058],.mp4,,Memoria S,F:\SERIE TV\Hunter x Hunter\Hunter x Hunter\[5 YORK SHIN CITY 037-058]\42.mp4,2026-08-20
